,Open,High,Low,Close,C/C(-1) - 1,log^2(H/L),log^2(C/O),GK,o,u,d,c,RS,,,,,,,,
8/1/2017,2477.1,2478.51,2471.14,2476.35,0.24%,0.0009%,0.0000%,0.0004%,0.27%,0.06%,-0.24%,-0.03%,0.00%,,,,,,,,
8/2/2017,2480.38,2480.38,2466.48,2477.57,0.05%,0.0032%,0.0001%,0.0016%,0.16%,0.00%,-0.56%,-0.11%,0.00%,,,,,,,,
8/3/2017,2476.03,2476.03,2468.85,2472.16,-0.22%,0.0008%,0.0002%,0.0005%,-0.06%,0.00%,-0.29%,-0.16%,0.00%,,,,,,,,
8/4/2017,2476.88,2480,2472.08,2476.83,0.19%,0.0010%,0.0000%,0.0005%,0.19%,0.13%,-0.19%,0.00%,0.00%,,,,,,,,
8/7/2017,2477.14,2480.95,2475.88,2480.91,0.16%,0.0004%,0.0002%,0.0003%,0.01%,0.15%,-0.05%,0.15%,0.00%,,,,,,,,
8/8/2017,2478.35,2490.87,2470.32,2474.92,-0.24%,0.0069%,0.0002%,0.0035%,-0.10%,0.50%,-0.32%,-0.14%,0.00%,,,,,,,,
8/9/2017,2465.35,2474.41,2462.08,2474.02,-0.04%,0.0025%,0.0012%,0.0017%,-0.39%,0.37%,-0.13%,0.35%,0.00%,,,,,,,,
8/10/2017,2465.38,2465.38,2437.75,2438.21,-1.45%,0.0127%,0.0123%,0.0111%,-0.35%,0.00%,-1.13%,-1.11%,0.00%,,,,,,,,
8/11/2017,2441.04,2448.09,2437.85,2441.32,0.13%,0.0018%,0.0000%,0.0009%,0.12%,0.29%,-0.13%,0.01%,0.00%,,,,,,,,
8/14/2017,2454.96,2468.22,2454.96,2465.84,1.00%,0.0029%,0.0020%,0.0022%,0.56%,0.54%,0.00%,0.44%,0.00%,,,,,,,,
8/15/2017,2468.66,2468.9,2461.61,2464.61,-0.05%,0.0009%,0.0003%,0.0005%,0.11%,0.01%,-0.29%,-0.16%,0.00%,,,,,,,,
8/16/2017,2468.63,2474.93,2463.86,2468.11,0.14%,0.0020%,0.0000%,0.0010%,0.16%,0.25%,-0.19%,-0.02%,0.00%,,,,,,,,
8/17/2017,2462.95,2465.02,2430.01,2430.01,-1.54%,0.0205%,0.0181%,0.0172%,-0.21%,0.08%,-1.35%,-1.35%,0.00%,,,,,,,,
8/18/2017,2427.64,2440.27,2420.69,2425.55,-0.18%,0.0065%,0.0001%,0.0033%,-0.10%,0.52%,-0.29%,-0.09%,0.00%,,,,,,,,
8/21/2017,2425.5,2430.58,2417.35,2428.37,0.12%,0.0030%,0.0001%,0.0015%,0.00%,0.21%,-0.34%,0.12%,0.00%,,,,,,,,
8/22/2017,2433.75,2454.77,2433.67,2452.51,0.99%,0.0075%,0.0059%,0.0060%,0.22%,0.86%,0.00%,0.77%,0.00%,,,,,,,,
8/23/2017,2444.88,2448.91,2441.42,2444.04,-0.35%,0.0009%,0.0000%,0.0005%,-0.31%,0.16%,-0.14%,-0.03%,0.00%,,,,,,,,
8/24/2017,2447.91,2450.39,2436.19,2438.97,-0.21%,0.0034%,0.0013%,0.0022%,0.16%,0.10%,-0.48%,-0.37%,0.00%,,,,,,,,
8/25/2017,2444.72,2453.96,2442.22,2443.05,0.17%,0.0023%,0.0000%,0.0012%,0.24%,0.38%,-0.10%,-0.07%,0.00%,,,,,,,,
8/28/2017,2447.35,2449.12,2439.03,2444.24,0.05%,0.0017%,0.0002%,0.0009%,0.18%,0.07%,-0.34%,-0.13%,0.00%,,,,,,,,
8/29/2017,2431.94,2449.19,2428.2,2446.3,0.08%,0.0074%,0.0035%,0.0050%,-0.50%,0.71%,-0.15%,0.59%,0.00%,,,,,,,,
8/30/2017,2446.06,2460.31,2443.77,2457.59,0.46%,0.0046%,0.0022%,0.0031%,-0.01%,0.58%,-0.09%,0.47%,0.00%,,,,,,,,
8/31/2017,2462.65,2475.01,2462.65,2471.65,0.57%,0.0025%,0.0013%,0.0018%,0.21%,0.50%,0.00%,0.36%,0.00%,,,,,,,,
9/1/2017,2474.42,2480.38,2473.85,2476.55,0.20%,0.0007%,0.0001%,0.0004%,0.11%,0.24%,-0.02%,0.09%,0.00%,,,,,,,,
9/5/2017,2470.35,2471.97,2446.55,2457.85,-0.76%,0.0107%,0.0026%,0.0063%,-0.25%,0.07%,-0.97%,-0.51%,0.00%,,,,,,,,
9/6/2017,2463.83,2469.64,2459.2,2465.54,0.31%,0.0018%,0.0000%,0.0009%,0.24%,0.24%,-0.19%,0.07%,0.00%,,,,,,,,
9/7/2017,2468.06,2468.62,2460.29,2465.1,-0.02%,0.0011%,0.0001%,0.0006%,0.10%,0.02%,-0.32%,-0.12%,0.00%,,,,,,,,
9/8/2017,2462.25,2467.11,2459.4,2461.43,-0.15%,0.0010%,0.0000%,0.0005%,-0.12%,0.20%,-0.12%,-0.03%,0.00%,,,,,,,,
9/11/2017,2474.52,2488.95,2474.52,2488.11,1.08%,0.0034%,0.0030%,0.0028%,0.53%,0.58%,0.00%,0.55%,0.00%,,,,,,,,
9/12/2017,2491.94,2496.77,2490.37,2496.48,0.34%,0.0007%,0.0003%,0.0005%,0.15%,0.19%,-0.06%,0.18%,0.00%,,,,,,,,
9/13/2017,2493.89,2498.37,2492.14,2498.37,0.08%,0.0006%,0.0003%,0.0004%,-0.10%,0.18%,-0.07%,0.18%,0.00%,,,,,,,,
9/14/2017,2494.56,2498.43,2491.35,2495.62,-0.11%,0.0008%,0.0000%,0.0004%,-0.15%,0.16%,-0.13%,0.04%,0.00%,,,,,,,,
9/15/2017,2495.67,2500.23,2493.16,2500.23,0.18%,0.0008%,0.0003%,0.0005%,0.00%,0.18%,-0.10%,0.18%,0.00%,,,,,,,,
9/18/2017,2502.51,2508.32,2499.92,2503.87,0.15%,0.0011%,0.0000%,0.0006%,0.09%,0.23%,-0.10%,0.05%,0.00%,,,,,,,,
9/19/2017,2506.29,2507.84,2503.19,2506.65,0.11%,0.0003%,0.0000%,0.0002%,0.10%,0.06%,-0.12%,0.01%,0.00%,,,,,,,,
9/20/2017,2506.84,2508.85,2496.67,2508.24,0.06%,0.0024%,0.0000%,0.0012%,0.01%,0.08%,-0.41%,0.06%,0.00%,,,,,,,,
9/21/2017,2507.16,2507.16,2499,2500.6,-0.30%,0.0011%,0.0007%,0.0008%,-0.04%,0.00%,-0.33%,-0.26%,0.00%,,,,,,,,
9/22/2017,2497.26,2503.47,2496.54,2502.22,0.06%,0.0008%,0.0004%,0.0005%,-0.13%,0.25%,-0.03%,0.20%,0.00%,,,,,,,,
9/25/2017,2499.39,2502.54,2488.03,2496.66,-0.22%,0.0034%,0.0001%,0.0017%,-0.11%,0.13%,-0.46%,-0.11%,0.00%,,,,,,,,
9/26/2017,2501.04,2503.51,2495.12,2496.84,0.01%,0.0011%,0.0003%,0.0007%,0.18%,0.10%,-0.24%,-0.17%,0.00%,,,,,,,,
9/27/2017,2503.3,2511.75,2495.91,2507.04,0.41%,0.0040%,0.0002%,0.0021%,0.26%,0.34%,-0.30%,0.15%,0.00%,,,,,,,,
9/28/2017,2503.41,2510.81,2502.93,2510.06,0.12%,0.0010%,0.0007%,0.0008%,-0.14%,0.30%,-0.02%,0.27%,0.00%,,,,,,,,
9/29/2017,2509.96,2519.44,2507.99,2519.36,0.37%,0.0021%,0.0014%,0.0016%,0.00%,0.38%,-0.08%,0.37%,0.00%,,,,,,,,
10/2/2017,2521.2,2529.23,2520.4,2529.12,0.39%,0.0012%,0.0010%,0.0010%,0.07%,0.32%,-0.03%,0.31%,0.00%,,,,,,,,
10/3/2017,2530.34,2535.13,2528.85,2534.58,0.22%,0.0006%,0.0003%,0.0004%,0.05%,0.19%,-0.06%,0.17%,0.00%,,,,,,,,
10/4/2017,2533.48,2540.53,2531.8,2537.74,0.12%,0.0012%,0.0003%,0.0007%,-0.04%,0.28%,-0.07%,0.17%,0.00%,,,,,,,,
10/5/2017,2540.86,2552.51,2540.02,2552.07,0.56%,0.0024%,0.0019%,0.0020%,0.12%,0.46%,-0.03%,0.44%,0.00%,,,,,,,,
10/6/2017,2547.44,2549.41,2543.79,2549.33,-0.11%,0.0005%,0.0001%,0.0003%,-0.18%,0.08%,-0.14%,0.07%,0.00%,,,,,,,,
10/9/2017,2551.39,2551.82,2541.6,2544.73,-0.18%,0.0016%,0.0007%,0.0011%,0.08%,0.02%,-0.38%,-0.26%,0.00%,,,,,,,,
10/10/2017,2549.99,2555.23,2544.86,2550.64,0.23%,0.0017%,0.0000%,0.0008%,0.21%,0.21%,-0.20%,0.03%,0.00%,,,,,,,,
10/11/2017,2550.62,2555.24,2547.95,2555.24,0.18%,0.0008%,0.0003%,0.0005%,0.00%,0.18%,-0.10%,0.18%,0.00%,,,,,,,,
10/12/2017,2552.88,2555.33,2548.31,2550.93,-0.17%,0.0008%,0.0001%,0.0004%,-0.09%,0.10%,-0.18%,-0.08%,0.00%,,,,,,,,
10/13/2017,2555.66,2557.65,2552.09,2553.17,0.09%,0.0005%,0.0001%,0.0003%,0.19%,0.08%,-0.14%,-0.10%,0.00%,,,,,,,,
10/16/2017,2555.57,2559.47,2552.64,2557.64,0.18%,0.0007%,0.0001%,0.0004%,0.09%,0.15%,-0.11%,0.08%,0.00%,,,,,,,,
10/17/2017,2557.17,2559.71,2554.69,2559.36,0.07%,0.0004%,0.0001%,0.0002%,-0.02%,0.10%,-0.10%,0.09%,0.00%,,,,,,,,
10/18/2017,2562.87,2564.11,2559.67,2561.26,0.07%,0.0003%,0.0000%,0.0002%,0.14%,0.05%,-0.12%,-0.06%,0.00%,,,,,,,,
10/19/2017,2553.39,2562.36,2547.92,2562.1,0.03%,0.0032%,0.0012%,0.0020%,-0.31%,0.35%,-0.21%,0.34%,0.00%,,,,,,,,
10/20/2017,2567.56,2575.44,2567.56,2575.21,0.51%,0.0009%,0.0009%,0.0008%,0.21%,0.31%,0.00%,0.30%,0.00%,,,,,,,,
10/23/2017,2578.08,2578.29,2564.33,2564.98,-0.40%,0.0029%,0.0026%,0.0025%,0.11%,0.01%,-0.53%,-0.51%,0.00%,,,,,,,,
10/24/2017,2568.66,2572.18,2565.58,2569.13,0.16%,0.0007%,0.0000%,0.0003%,0.14%,0.14%,-0.12%,0.02%,0.00%,,,,,,,,
10/25/2017,2566.52,2567.4,2544,2557.15,-0.47%,0.0084%,0.0013%,0.0047%,-0.10%,0.03%,-0.88%,-0.37%,0.00%,,,,,,,,
10/26/2017,2560.08,2567.07,2559.8,2560.4,0.13%,0.0008%,0.0000%,0.0004%,0.11%,0.27%,-0.01%,0.01%,0.00%,,,,,,,,
10/27/2017,2570.26,2582.98,2565.94,2581.07,0.81%,0.0044%,0.0018%,0.0029%,0.38%,0.49%,-0.17%,0.42%,0.00%,,,,,,,,
10/30/2017,2577.75,2580.03,2568.25,2572.83,-0.32%,0.0021%,0.0004%,0.0012%,-0.13%,0.09%,-0.37%,-0.19%,0.00%,,,,,,,,
10/31/2017,2575.99,2578.29,2572.15,2575.26,0.09%,0.0006%,0.0000%,0.0003%,0.12%,0.09%,-0.15%,-0.03%,0.00%,,,,,,,,
11/1/2017,2583.21,2588.4,2574.92,2579.36,0.16%,0.0027%,0.0002%,0.0014%,0.31%,0.20%,-0.32%,-0.15%,0.00%,,,,,,,,
11/2/2017,2579.46,2581.11,2566.17,2579.85,0.02%,0.0034%,0.0000%,0.0017%,0.00%,0.06%,-0.52%,0.02%,0.00%,,,,,,,,
11/3/2017,2581.93,2588.42,2576.77,2587.84,0.31%,0.0020%,0.0005%,0.0012%,0.08%,0.25%,-0.20%,0.23%,0.00%,,,,,,,,
11/6/2017,2587.47,2593.38,2585.66,2591.13,0.13%,0.0009%,0.0002%,0.0005%,-0.01%,0.23%,-0.07%,0.14%,0.00%,,,,,,,,
11/7/2017,2592.11,2597.02,2584.35,2590.64,-0.02%,0.0024%,0.0000%,0.0012%,0.04%,0.19%,-0.30%,-0.06%,0.00%,,,,,,,,
11/8/2017,2588.71,2595.47,2585.02,2594.38,0.14%,0.0016%,0.0005%,0.0010%,-0.07%,0.26%,-0.14%,0.22%,0.00%,,,,,,,,
11/9/2017,2584,2586.5,2566.33,2584.62,-0.38%,0.0061%,0.0000%,0.0031%,-0.40%,0.10%,-0.69%,0.02%,0.00%,,,,,,,,
11/10/2017,2580.18,2583.81,2575.57,2582.3,-0.09%,0.0010%,0.0001%,0.0005%,-0.17%,0.14%,-0.18%,0.08%,0.00%,,,,,,,,
11/13/2017,2576.53,2587.66,2574.48,2584.84,0.10%,0.0026%,0.0010%,0.0017%,-0.22%,0.43%,-0.08%,0.32%,0.00%,,,,,,,,
11/14/2017,2577.75,2579.66,2566.56,2578.87,-0.23%,0.0026%,0.0000%,0.0013%,-0.27%,0.07%,-0.44%,0.04%,0.00%,,,,,,,,
11/15/2017,2569.45,2572.84,2557.45,2564.62,-0.55%,0.0036%,0.0004%,0.0019%,-0.37%,0.13%,-0.47%,-0.19%,0.00%,,,,,,,,
11/16/2017,2572.95,2590.09,2572.95,2585.64,0.82%,0.0044%,0.0024%,0.0031%,0.32%,0.66%,0.00%,0.49%,0.00%,,,,,,,,
11/17/2017,2582.94,2583.96,2577.62,2578.85,-0.26%,0.0006%,0.0003%,0.0004%,-0.10%,0.04%,-0.21%,-0.16%,0.00%,,,,,,,,
11/20/2017,2579.49,2584.64,2578.24,2582.14,0.13%,0.0006%,0.0001%,0.0003%,0.02%,0.20%,-0.05%,0.10%,0.00%,,,,,,,,
11/21/2017,2589.17,2601.19,2589.17,2599.03,0.65%,0.0021%,0.0014%,0.0016%,0.27%,0.46%,0.00%,0.38%,0.00%,,,,,,,,
11/22/2017,2600.31,2600.94,2595.23,2597.08,-0.08%,0.0005%,0.0002%,0.0003%,0.05%,0.02%,-0.20%,-0.12%,0.00%,,,,,,,,
11/24/2017,2600.42,2604.21,2600.42,2602.42,0.21%,0.0002%,0.0001%,0.0001%,0.13%,0.15%,0.00%,0.08%,0.00%,,,,,,,,
11/27/2017,2602.66,2606.41,2598.87,2601.42,-0.04%,0.0008%,0.0000%,0.0004%,0.01%,0.14%,-0.15%,-0.05%,0.00%,,,,,,,,
11/28/2017,2605.94,2627.69,2605.44,2627.04,0.98%,0.0072%,0.0065%,0.0061%,0.17%,0.83%,-0.02%,0.81%,0.00%,,,,,,,,
11/29/2017,2627.82,2634.89,2620.32,2626.07,-0.04%,0.0031%,0.0000%,0.0016%,0.03%,0.27%,-0.29%,-0.07%,0.00%,,,,,,,,
11/30/2017,2633.93,2657.74,2633.93,2647.58,0.82%,0.0081%,0.0027%,0.0051%,0.30%,0.90%,0.00%,0.52%,0.00%,,,,,,,,
12/1/2017,2645.1,2650.62,2605.52,2642.22,-0.20%,0.0295%,0.0001%,0.0148%,-0.09%,0.21%,-1.51%,-0.11%,0.02%,,,,,,,,
12/4/2017,2657.19,2665.19,2639.03,2639.44,-0.11%,0.0097%,0.0045%,0.0066%,0.56%,0.30%,-0.69%,-0.67%,0.00%,,,,,,,,
12/5/2017,2639.78,2648.72,2627.73,2629.57,-0.37%,0.0063%,0.0015%,0.0037%,0.01%,0.34%,-0.46%,-0.39%,0.00%,,,,,,,,
12/6/2017,2626.24,2634.41,2624.75,2629.27,-0.01%,0.0013%,0.0001%,0.0007%,-0.13%,0.31%,-0.06%,0.12%,0.00%,,,,,,,,
12/7/2017,2628.38,2640.99,2626.53,2636.98,0.29%,0.0030%,0.0011%,0.0019%,-0.03%,0.48%,-0.07%,0.33%,0.00%,,,,,,,,
12/8/2017,2646.21,2651.65,2644.1,2651.5,0.55%,0.0008%,0.0004%,0.0006%,0.35%,0.21%,-0.08%,0.20%,0.00%,,,,,,,,
12/11/2017,2652.19,2660.33,2651.47,2659.99,0.32%,0.0011%,0.0009%,0.0009%,0.03%,0.31%,-0.03%,0.29%,0.00%,,,,,,,,
12/12/2017,2661.73,2669.72,2659.78,2664.11,0.15%,0.0014%,0.0001%,0.0007%,0.07%,0.30%,-0.07%,0.09%,0.00%,,,,,,,,
12/13/2017,2667.59,2671.88,2662.85,2662.85,-0.05%,0.0011%,0.0003%,0.0007%,0.13%,0.16%,-0.18%,-0.18%,0.00%,,,,,,,,
12/14/2017,2665.87,2668.09,2652.01,2652.01,-0.41%,0.0037%,0.0027%,0.0029%,0.11%,0.08%,-0.52%,-0.52%,0.00%,,,,,,,,
12/15/2017,2660.63,2679.63,2659.14,2675.81,0.90%,0.0059%,0.0032%,0.0042%,0.32%,0.71%,-0.06%,0.57%,0.00%,,,,,,,,
12/18/2017,2685.92,2694.97,2685.92,2690.16,0.54%,0.0011%,0.0002%,0.0007%,0.38%,0.34%,0.00%,0.16%,0.00%,,,,,,,,
12/19/2017,2692.71,2694.44,2680.74,2681.47,-0.32%,0.0026%,0.0017%,0.0020%,0.09%,0.06%,-0.45%,-0.42%,0.00%,,,,,,,,
12/20/2017,2688.18,2691.01,2676.11,2679.25,-0.08%,0.0031%,0.0011%,0.0020%,0.25%,0.11%,-0.45%,-0.33%,0.00%,,,,,,,,
12/21/2017,2683.02,2692.64,2682.4,2684.57,0.20%,0.0015%,0.0000%,0.0007%,0.14%,0.36%,-0.02%,0.06%,0.00%,,,,,,,,
12/22/2017,2684.22,2685.35,2678.13,2683.34,-0.05%,0.0007%,0.0000%,0.0004%,-0.01%,0.04%,-0.23%,-0.03%,0.00%,,,,,,,,
12/26/2017,2679.09,2682.74,2677.96,2680.5,-0.11%,0.0003%,0.0000%,0.0002%,-0.16%,0.14%,-0.04%,0.05%,0.00%,,,,,,,,
12/27/2017,2682.1,2685.64,2678.91,2682.62,0.08%,0.0006%,0.0000%,0.0003%,0.06%,0.13%,-0.12%,0.02%,0.00%,,,,,,,,
12/28/2017,2686.1,2687.66,2682.69,2687.54,0.18%,0.0003%,0.0000%,0.0002%,0.13%,0.06%,-0.13%,0.05%,0.00%,,,,,,,,
12/29/2017,2689.15,2692.12,2673.61,2673.61,-0.52%,0.0048%,0.0034%,0.0037%,0.06%,0.11%,-0.58%,-0.58%,0.00%,,,,,,,,
1/2/2018,2683.73,2695.89,2682.36,2695.81,0.83%,0.0025%,0.0020%,0.0020%,0.38%,0.45%,-0.05%,0.45%,0.00%,,,,,,,,
1/3/2018,2697.85,2714.37,2697.77,2713.06,0.64%,0.0038%,0.0032%,0.0031%,0.08%,0.61%,0.00%,0.56%,0.00%,,,,,,,,
1/4/2018,2719.31,2729.29,2719.07,2723.99,0.40%,0.0014%,0.0003%,0.0008%,0.23%,0.37%,-0.01%,0.17%,0.00%,,,,,,,,
1/5/2018,2731.33,2743.45,2727.92,2743.15,0.70%,0.0032%,0.0019%,0.0023%,0.27%,0.44%,-0.12%,0.43%,0.00%,,,,,,,,
1/8/2018,2742.67,2748.51,2737.6,2747.71,0.17%,0.0016%,0.0003%,0.0009%,-0.02%,0.21%,-0.19%,0.18%,0.00%,,,,,,,,
1/9/2018,2751.15,2759.14,2747.86,2751.29,0.13%,0.0017%,0.0000%,0.0008%,0.13%,0.29%,-0.12%,0.01%,0.00%,,,,,,,,
1/10/2018,2745.55,2750.8,2736.06,2748.23,-0.11%,0.0029%,0.0001%,0.0015%,-0.21%,0.19%,-0.35%,0.10%,0.00%,,,,,,,,
1/11/2018,2752.97,2767.56,2752.78,2767.56,0.70%,0.0029%,0.0028%,0.0025%,0.17%,0.53%,-0.01%,0.53%,0.00%,,,,,,,,
1/12/2018,2770.18,2787.85,2769.64,2786.24,0.67%,0.0043%,0.0033%,0.0034%,0.09%,0.64%,-0.02%,0.58%,0.00%,,,,,,,,
1/16/2018,2798.96,2807.54,2768.64,2776.42,-0.35%,0.0195%,0.0065%,0.0123%,0.46%,0.31%,-1.09%,-0.81%,0.01%,,,,,,,,
1/17/2018,2784.99,2807.04,2778.38,2802.56,0.94%,0.0105%,0.0040%,0.0068%,0.31%,0.79%,-0.24%,0.63%,0.00%,,,,,,,,
1/18/2018,2802.4,2805.83,2792.56,2798.03,-0.16%,0.0022%,0.0002%,0.0012%,-0.01%,0.12%,-0.35%,-0.16%,0.00%,,,,,,,,
1/19/2018,2802.6,2810.33,2798.08,2810.3,0.44%,0.0019%,0.0008%,0.0012%,0.16%,0.28%,-0.16%,0.27%,0.00%,,,,,,,,
1/22/2018,2809.16,2833.03,2808.12,2832.97,0.81%,0.0078%,0.0071%,0.0067%,-0.04%,0.85%,-0.04%,0.84%,0.00%,,,,,,,,
1/23/2018,2835.05,2842.24,2830.59,2839.13,0.22%,0.0017%,0.0002%,0.0009%,0.07%,0.25%,-0.16%,0.14%,0.00%,,,,,,,,
1/24/2018,2845.42,2852.97,2824.81,2837.54,-0.06%,0.0098%,0.0008%,0.0052%,0.22%,0.26%,-0.73%,-0.28%,0.00%,,,,,,,,
1/25/2018,2846.24,2848.56,2830.94,2839.25,0.06%,0.0038%,0.0006%,0.0022%,0.31%,0.08%,-0.54%,-0.25%,0.00%,,,,,,,,
1/26/2018,2847.48,2872.87,2846.18,2872.87,1.18%,0.0087%,0.0079%,0.0074%,0.29%,0.89%,-0.05%,0.89%,0.00%,,,,,,,,
1/29/2018,2867.23,2870.62,2851.48,2853.53,-0.67%,0.0045%,0.0023%,0.0031%,-0.20%,0.12%,-0.55%,-0.48%,0.00%,,,,,,,,
1/30/2018,2832.74,2837.75,2818.27,2822.43,-1.09%,0.0047%,0.0013%,0.0029%,-0.73%,0.18%,-0.51%,-0.36%,0.00%,,,,,,,,
1/31/2018,2832.41,2839.26,2813.04,2823.81,0.05%,0.0086%,0.0009%,0.0047%,0.35%,0.24%,-0.69%,-0.30%,0.00%,,,,,,,,
2/1/2018,2816.45,2835.96,2812.7,2821.98,-0.06%,0.0068%,0.0004%,0.0035%,-0.26%,0.69%,-0.13%,0.20%,0.00%,,,,,,,,
2/2/2018,2808.92,2808.92,2759.97,2762.13,-2.12%,0.0309%,0.0282%,0.0264%,-0.46%,0.00%,-1.76%,-1.68%,0.00%,,,,,,,,
2/5/2018,2741.06,2763.39,2638.17,2648.94,-4.10%,0.2150%,0.1169%,0.1527%,-0.77%,0.81%,-3.83%,-3.42%,0.05%,,,,,,,,
2/6/2018,2614.78,2701.04,2593.07,2695.14,1.74%,0.1664%,0.0916%,0.1186%,-1.30%,3.25%,-0.83%,3.03%,0.04%,,,,,,,,
2/7/2018,2690.95,2727.67,2681.33,2681.66,-0.50%,0.0294%,0.0012%,0.0151%,-0.16%,1.36%,-0.36%,-0.35%,0.02%,,,,,,,,
2/8/2018,2685.01,2685.27,2580.56,2581,-3.75%,0.1582%,0.1561%,0.1394%,0.12%,0.01%,-3.97%,-3.95%,0.00%,,,,,,,,
2/9/2018,2601.78,2638.67,2532.69,2619.55,1.49%,0.1680%,0.0046%,0.0858%,0.80%,1.41%,-2.69%,0.68%,0.10%,,,,,,,,
2/12/2018,2636.75,2672.61,2622.45,2656,1.39%,0.0359%,0.0053%,0.0200%,0.65%,1.35%,-0.54%,0.73%,0.02%,,,,,,,,
2/13/2018,2646.27,2668.84,2637.08,2662.94,0.26%,0.0143%,0.0039%,0.0087%,-0.37%,0.85%,-0.35%,0.63%,0.01%,,,,,,,,
2/14/2018,2651.21,2702.1,2648.87,2698.63,1.34%,0.0396%,0.0314%,0.0319%,-0.44%,1.90%,-0.09%,1.77%,0.00%,,,,,,,,
2/15/2018,2713.46,2731.51,2689.82,2731.2,1.21%,0.0237%,0.0042%,0.0135%,0.55%,0.66%,-0.88%,0.65%,0.01%,,,,,,,,
2/16/2018,2727.14,2754.42,2725.11,2732.22,0.04%,0.0114%,0.0003%,0.0059%,-0.15%,1.00%,-0.07%,0.19%,0.01%,,,,,,,,
2/20/2018,2722.99,2737.6,2706.76,2716.26,-0.58%,0.0128%,0.0006%,0.0067%,-0.34%,0.54%,-0.60%,-0.25%,0.01%,,,,,,,,
2/21/2018,2720.53,2747.75,2701.29,2701.33,-0.55%,0.0291%,0.0050%,0.0165%,0.16%,1.00%,-0.71%,-0.71%,0.02%,,,,,,,,
2/22/2018,2710.42,2731.26,2697.77,2703.96,0.10%,0.0152%,0.0006%,0.0078%,0.34%,0.77%,-0.47%,-0.24%,0.01%,,,,,,,,
2/23/2018,2715.8,2747.76,2713.74,2747.3,1.60%,0.0155%,0.0133%,0.0129%,0.44%,1.17%,-0.08%,1.15%,0.00%,,,,,,,,
2/26/2018,2757.37,2780.64,2753.78,2779.6,1.18%,0.0094%,0.0064%,0.0072%,0.37%,0.84%,-0.13%,0.80%,0.00%,,,,,,,,
2/27/2018,2780.45,2789.15,2744.22,2744.28,-1.27%,0.0264%,0.0171%,0.0198%,0.03%,0.31%,-1.31%,-1.31%,0.01%,,,,,,,,
2/28/2018,2753.78,2761.52,2713.54,2713.83,-1.11%,0.0307%,0.0214%,0.0236%,0.35%,0.28%,-1.47%,-1.46%,0.01%,,,,,,,,
3/1/2018,2715.22,2730.89,2659.65,2677.67,-1.33%,0.0699%,0.0194%,0.0424%,0.05%,0.58%,-2.07%,-1.39%,0.03%,,,,,,,,
3/2/2018,2658.89,2696.25,2647.32,2691.25,0.51%,0.0335%,0.0146%,0.0224%,-0.70%,1.40%,-0.44%,1.21%,0.01%,,,,,,,,
3/5/2018,2681.06,2728.09,2675.75,2720.94,1.10%,0.0375%,0.0218%,0.0272%,-0.38%,1.74%,-0.20%,1.48%,0.01%,,,,,,,,
3/6/2018,2730.18,2732.08,2711.26,2728.12,0.26%,0.0059%,0.0001%,0.0029%,0.34%,0.07%,-0.70%,-0.08%,0.00%,,,,,,,,
3/7/2018,2710.18,2730.6,2701.74,2726.8,-0.05%,0.0113%,0.0037%,0.0071%,-0.66%,0.75%,-0.31%,0.61%,0.00%,,,,,,,,
3/8/2018,2732.75,2740.45,2722.65,2738.97,0.45%,0.0042%,0.0005%,0.0023%,0.22%,0.28%,-0.37%,0.23%,0.00%,,,,,,,,
3/9/2018,2752.91,2786.57,2751.54,2786.57,1.74%,0.0160%,0.0148%,0.0137%,0.51%,1.22%,-0.05%,1.22%,0.00%,,,,,,,,
3/12/2018,2790.54,2796.98,2779.26,2783.02,-0.13%,0.0040%,0.0007%,0.0023%,0.14%,0.23%,-0.41%,-0.27%,0.00%,,,,,,,,
3/13/2018,2792.31,2801.9,2758.68,2765.31,-0.64%,0.0242%,0.0094%,0.0157%,0.33%,0.34%,-1.21%,-0.97%,0.01%,,,,,,,,
3/14/2018,2774.06,2777.11,2744.38,2749.48,-0.57%,0.0141%,0.0079%,0.0101%,0.32%,0.11%,-1.08%,-0.89%,0.00%,,,,,,,,
3/15/2018,2754.27,2763.03,2741.47,2747.33,-0.08%,0.0061%,0.0006%,0.0033%,0.17%,0.32%,-0.47%,-0.25%,0.00%,,,,,,,,
3/16/2018,2750.57,2761.85,2749.97,2752.01,0.17%,0.0019%,0.0000%,0.0009%,0.12%,0.41%,-0.02%,0.05%,0.00%,,,,,,,,
3/19/2018,2741.38,2741.38,2694.59,2712.92,-1.42%,0.0296%,0.0109%,0.0190%,-0.39%,0.00%,-1.72%,-1.04%,0.01%,,,,,,,,
3/20/2018,2715.05,2724.22,2710.05,2716.94,0.15%,0.0027%,0.0000%,0.0014%,0.08%,0.34%,-0.18%,0.07%,0.00%,,,,,,,,
3/21/2018,2714.99,2739.14,2709.79,2711.93,-0.18%,0.0116%,0.0001%,0.0059%,-0.07%,0.89%,-0.19%,-0.11%,0.01%,,,,,,,,
3/22/2018,2691.36,2695.68,2641.59,2643.69,-2.52%,0.0411%,0.0319%,0.0329%,-0.76%,0.16%,-1.87%,-1.79%,0.00%,,,,,,,,
3/23/2018,2646.71,2657.67,2585.89,2588.26,-2.10%,0.0750%,0.0499%,0.0567%,0.11%,0.41%,-2.32%,-2.23%,0.01%,,,,,,,,
